event|alphaid|time|ticker|volume
SplitAlphaEv|TRADER_001Atem|930000000|000001.SSE|1473
SplitAlphaEv|TRADER_002Atem|930000000|000001.SSE|1473
SplitAlphaEv|TRADER_003Atem|930000000|000001.SSE|1473
SplitAlphaEv|TRADER_004Atem|930000000|000001.SSE|1473
SplitAlphaEv|TRADER_005Atem|930000000|000001.SSE|1472
SplitAlphaEv|TRADER_001Atem|930000000|000002.SSE|31053
SplitAlphaEv|TRADER_002Atem|930000000|000002.SSE|31053
SplitAlphaEv|TRADER_003Atem|930000000|000002.SSE|31053
SplitAlphaEv|TRADER_004Atem|930000000|000002.SSE|31053
SplitAlphaEv|TRADER_005Atem|930000000|000002.SSE|31052
SplitAlphaEv|TRADER_001Atem|930000000|000003.SSE|39306
SplitAlphaEv|TRADER_002Atem|930000000|000003.SSE|39306
SplitAlphaEv|TRADER_003Atem|930000000|000003.SSE|39306
SplitAlphaEv|TRADER_004Atem|930000000|000003.SSE|39305
SplitAlphaEv|TRADER_005Atem|930000000|000003.SSE|39305
SplitAlphaEv|TRADER_001Atem|930000000|000004.SSE|69518
SplitAlphaEv|TRADER_002Atem|930000000|000004.SSE|69517
SplitAlphaEv|TRADER_003Atem|930000000|000004.SSE|69517
SplitAlphaEv|TRADER_004Atem|930000000|000004.SSE|69517
SplitAlphaEv|TRADER_005Atem|930000000|000004.SSE|69517
SplitAlphaEv|TRADER_001Atem|930000000|000005.SSE|16610
SplitAlphaEv|TRADER_002Atem|930000000|000005.SSE|16610
SplitAlphaEv|TRADER_003Atem|930000000|000005.SSE|16610
SplitAlphaEv|TRADER_004Atem|930000000|000005.SSE|16609
SplitAlphaEv|TRADER_005Atem|930000000|000005.SSE|16609
SplitAlphaEv|TRADER_001Atem|930000000|000006.SSE|42441
SplitAlphaEv|TRADER_002Atem|930000000|000006.SSE|42441
SplitAlphaEv|TRADER_003Atem|930000000|000006.SSE|42441
SplitAlphaEv|TRADER_004Atem|930000000|000006.SSE|42441
SplitAlphaEv|TRADER_005Atem|930000000|000006.SSE|42441
